case_id,chapter,question,my_claim,evidence_I_cited,pages,VERDICT (agree / disagree / unsure),NOTES (required if you disagree),REVIEWER NAME
h-chem-10,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",Does the temperature rise or fall when calcium oxide reacts with water?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer",water Calcium oxide reacts vigorously with water to produce slaked lime (calcium hydroxide) releasing a large amount of heat.,6,agree,,asha
h-chem-11,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",What is a skeletal chemical equation?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","In other words, the number of atoms of each element remains the same, before and after a chemical reaction. Hence, we need to balance a skeletal chemical equation. Is the chemical Eq. (1.2) balanced? Let us learn about balancing a chemical equation step by step.",3,agree,,asha
h-chem-12,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",State the law of conservation of mass,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","Recall the law of conservation of mass that you studied in Class IX; mass can neither be created nor destroyed in a chemical reaction. That is, the total mass of the elements present in the products of a chemical reaction has to be equal to the total mass of the elements present in the reactants.",3,agree,,asha
h-chem-13,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",What is produced when zinc granules are treated with dilute sulphuric acid?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","Zinc + Sulphuric acid → Zinc sulphate + Hydrogen

Zn + H 2 SO 4 → ZnSO 4 + H 2 (1.3)","3, 3",agree,,asha
h-chem-14,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations","When copper oxide reacts with hydrogen, which substance is oxidised?","ANSWERABLE - the chapter answers this, and the text beside it is the answer","During this reaction (1.29), the copper(II) oxide is losing oxygen and is being reduced. The hydrogen is gaining oxygen and is being oxidised. In other words, one reactant gets oxidised while the other gets reduced during a reaction. Such reactions are called oxidation-reduction reactions or redox reactions.",12,agree,,asha
h-chem-15,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",What is corrosion and what does it cost?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","You must have observed that iron articles are shiny when new, but get coated with a reddish brown powder when left for some time. This process is commonly known as rusting of iron. Some other metals also get tarnished in this manner. Have you noticed the colour of the coating formed on copper and silver? When a metal is attacked by substances around it such as moisture, acids, etc., it is said to corrode and this process is called corrosion. The black coating on silver and the green coating on copper are other examples of corrosion.

Corrosion causes damage to car bodies, bridges, iron railings, ships and to all objects made of metals, specially those of iron. Corrosion of iron is a serious problem. Every year an enormous amount of money is spent to replace damaged iron. You will learn more about corrosion in Chapter 3.","13, 13",agree,,asha
h-chem-16,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",How do you test which gas is collected in the electrolysis of water?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer",n Test these gases one by one by bringing a burning candle close to the mouth of the test tubes.,9,agree,,asha
h-chem-17,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",What are the observations that a chemical reaction has occurred?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","Formation of hydrogen gas by the action of dilute sulphuric acid on zinc From the above three activities, we can say that any of the following observations helps us to determine whether a chemical reaction has taken place -

square6 evolution of a gas","2, 2",agree,,asha
h-chem-18,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",Which reaction type forms a single product from two or more reactants?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","In this reaction, calcium oxide and water combine to form a single product, calcium hydroxide. Such a reaction in which a single product is formed from two or more reactants is known as a combination reaction.

In simple language we can say that when two or more substances (elements or compounds) combine to form a single product, the reactions are called combination reactions.","6, 7",agree,,asha
h-maths-01,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",What degree of polynomial gives a quadratic equation?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","In fact, any equation of the form p ( x ) = 0, where p ( x ) is a polynomial of degree 2, is a quadratic equation. But when we write the terms of p ( x ) in descending order of their degrees, then we get the standard form of the equation. That is, ax 2 + bx + c = 0, a  0 is called the standard form of a quadratic equation .",2,agree,,asha
h-maths-02,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",Which quadratic equation represents the marbles problem?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","i.e., x 2 - 45 x + 324 = 0

Therefore, the number of marbles John had, satisfies the quadratic equation","3, 3",agree,,asha
h-maths-03,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",How is the toy production problem written as a quadratic equation?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","Therefore, the cost of production (in rupees) of each toy that day = 55 - x So, the total cost of production (in rupees) that day = x (55 - x )

i.e., 55 x - x 2 = 750 i.e., - x 2 + 55 x - 750 = 0 i.e., x 2 - 55 x + 750 = 0","3, 3",agree,,asha
h-maths-04,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",Is 2x^2 - 3x + 1 = 0 a quadratic equation?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","A quadratic equation in the variable x is an equation of the form ax 2 + bx + c = 0, where a , b , c are real numbers, a  0. For example, 2 x 2 + x - 300 = 0 is a quadratic equation. Similarly, 2 x 2 - 3 x + 1 = 0, 4 x - 3 x 2 + 2 = 0 and 1 - x 2 + 300 = 0 are also quadratic equations.",2,agree,,asha
h-maths-05,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",What are the roots of 2x^2 - 5x + 3 = 0?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","In other words, 1 and 3 2 are the roots of the equation 2 x 2 - 5 x + 3 = 0.

So, 3 2 x  and x = 1 are the solutions of the equation.","5, 5",agree,,asha
h-maths-06,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",What is the value of the discriminant when the roots are equal?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","(ii) two equal real roots, if b 2 - 4 ac = 0,",8,disagree,one bullet is thin; include the surrounding explanation,asha
h-maths-07,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",Find the nature of the roots of 3x^2 - 2x + 1/3 = 0,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","Therefore, discriminant b 2 - 4 ac = (- 2) 2 - 4 × 3 × 1 3 = 4 - 4 = 0.

Hence, the given quadratic equation has two equal real roots.","9, 9",agree,,asha
h-maths-08,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",Where must the pole be erected in the circular park problem?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","Thus, the pole has to be erected on the boundary of the park at a distance of 5m from the gate B and 12m from the gate A.",9,agree,,asha
h-maths-09,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",What problem about sums and products did the Babylonians solve?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","Many people believe that Babylonians were the first to solve quadratic equations. For instance, they knew how to find two positive numbers with a given positive sum and a given positive product, and this problem is equivalent to solving a quadratic equation of the form x 2 - px + q = 0. Greek mathematician Euclid developed a geometrical approach for finding out lengths which, in our present day terminology, are solutions of quadratic equations. Solving of quadratic equations, in general form, is often credited to ancient Indian mathematicians. In fact, Brahmagupta (C.E.598-665) gave an explicit formula to solve a quadratic equation of the form ax 2 + bx = c . Later,",1,agree,,asha
h-maths-10,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",Can a quadratic equation have two equal roots?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","Therefore, we say that the quadratic equation ax 2 + bx + c = 0 has two equal real roots in this case.",8,agree,,asha
h-maths-11,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",What is the standard form of a quadratic polynomial equation?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","In fact, any equation of the form p ( x ) = 0, where p ( x ) is a polynomial of degree 2, is a quadratic equation. But when we write the terms of p ( x ) in descending order of their degrees, then we get the standard form of the equation. That is, ax 2 + bx + c = 0, a  0 is called the standard form of a quadratic equation .",2,agree,,asha
h-maths-12,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",What are the roots of 6x^2 - x - 2 = 0?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","The roots of 6 x 2 - x - 2 = 0 are the values of x for which (3 x - 2)(2 x + 1) = 0 Therefore, 3 x - 2 = 0 or 2 x + 1 = 0,

Therefore, the roots of 6 x 2 - x - 2 = 0 are 2 1 . and - 3 2","6, 6",agree,,asha
h-unans-01,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",What is the formula for the area of a circle?,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
h-unans-02,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",How do you factorise a cubic polynomial?,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
h-unans-03,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",What is the nth term of a geometric progression?,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
h-unans-04,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",How is the median of grouped data calculated?,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
h-unans-05,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",What is the atomic number of sodium?,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
h-unans-06,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",How does a nerve impulse travel in the human body?,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
h-unans-07,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",What is the difference between AC and DC current?,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
h-unans-08,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",What is the role of enzymes in digestion?,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
